"","noun","check"
"836","le{b-v}l",1
"837","le{b-v}n",1
"838","{b-v}{a-o}scht{a-o}ndteiln",1
"839","meidlech",1
"840","legi{a-o}nern",1
"841","iigentimersch{a-o}{p-f}t",1
"842","k{a-o}m{p-f}n",1
"843","lern-ss{p-f}rim",1
"844","wide{a-o}",1
"845","{p-f}eld",1
"846","m{a-o}d{u-o}l{a-o}rische",1
"847","m{a-o}d{u-o}le",1
"848","a{p-f}k{u-o}if",1
"849","{p-f}{a-o}remen",1
"850","id",1
"851","{b-v}ei",1
"852","m{a-o}dern",1
"853","m{a-o}dernisirte",1
"854","sstil",1
"855","m{a-o}derene",1
"856","md{b-v}r",1
"857","kenig",1
"858","chsch{b-v}{u-o}n{u-o}t",1
"859","m{a-o}{k-ch}tn",1
"860","{p-f}a{p-f}{u-o}lisst",1
"861","m{a-o}ַ{k-ch}n",1
"862","m{a-o}l{p-f}e",1
"863","t{u-o}t",1
"864","mensstr{u-o}{a-o}zie",1
"865","m{a-o}nt{a-o}ssch-linie",1
"866","{k-ch}w{a-o}lie",1
"867","m{a-o}ssn",1
"868","m{a-o}ַsse",1
"869","hersch{a-o}{p-f}t",1
"870","kl{a-o}{p-f}",1
"871","mgn",1
"872","gewen",1
"873","m{u-o}sik{a-o}lische",1
"874","m{u-o}sn",1
"875","m{u-o}lti-etnische",1
"876","gem{a-o}{k-ch}t",1
"877","w{a-o}ln",1
"878","w{a-o}ַln",1
"879","m{u-o}ssklen",1
"880","scht{a-o}rkeit",1
"881","getreisch{a-o}{p-f}t",1
"882","msch{p-f}chh",1
"883","{p-f}r{u-o}i",1
"884","mitlen",1
"885","t",1
"886","meidl",1
"887","meidele",1
"888","{a-o}rg{a-o}nis{a-o}zie",1
"889","scht{u-o}{p-f}",1
"890","trenir{u-o}ngss",1
"891","minderwi{k-ch}tige",1
"892","min{u-o}tn",1
"893","leg{a-o}le",1
"894","kr{a-o}nkeit",1
"895","schtetl",1
"896","mlizh''dige",1
"897","medik{a-o}mentn",1
"898","met{a-o}dn",1
"899","schl{a-o}ss",1
"900","schtikl",1
"901","sserwissess",1
"902","mentschische",1
"903","mentschele",1
"904","{p-f}{a-o}rm",1
"905","menschtn",1
"906","mer-{a-o}ngen{u-o}mene",1
"907","merere",1
"908","{b-v}{a-o}weg{u-o}ng",1
"909","kreisn",1
"910","n{a-o}wig{a-o}zie",1
"911","inti{p-f}{a-o}d{a-o}",1
"912","n{a-o}ntsste",1
"913","z{u-o}nk{u-o}{p-f}t",1
"914","seinen",1
"915","{a-o}ltern{a-o}tiwn",1
"916","schith",1
"917","n{a-o}zi{a-o}n{a-o}lisstn",1
"918","{b-v}i{b-v}li{a-o}ָtek",1
"919","nirn{b-v}erg",1
"920","krigss",1
"921","schi{p-f}{u-o}eim",1
"922","n{a-o}rme",1
"923","{b-v}ih{u-o}dh",1
"924","n{u-o}mern",1
"925","n{u-o}zli{k-ch}e",1
"926","n{u-o}kle{a-o}tidn",1
"927","n{u-o}kle{a-o}re",1
"928","in{p-f}l{a-o}zie",1
"929","{a-o}tem",1
"930","r{a-o}{b-v}{a-o}t",1
"931","h{u-o}is",1
"932","niderl{a-o}ַndn",1
"933","scht{a-o}{p-f}len",1
"934","m{u-o}ss{u-o}lmener",1
"935","idischn",1
"936","k{a-o}{p-f}l",1
"937","i{a-o}rh{u-o}ndert",1
"938","nײַsste",1
"939","m{a-o}schinen",1
"940","getr{a-o}nk",1
"941","nischt-dem{a-o}kr{a-o}tische",1
"942","nischt-eidische",1
"943","nischt-n{u-o}merische",1
"944","500",1
"945","derschein{u-o}ng",1
"946","negl",1
"947","scht{u-o}rem",1
"948","m{a-o}ַ{k-ch}t",1
"949","zeitn",1
"950","isch{u-o}",1
"951","ss{a-o}tr{a-o}{p-f}n",1
"952","wen",1
"953","ss{a-o}{p-f}{a-o}widn",1
"954","din{a-o}sstie",1
"955","a{p-f}lik{a-o}zie",1
"956","ss{a-o}rtn",1
"957","ss{u-o}{a-o}werene",1
"958","{p-f}{a-o}rteien",1
"959","k{a-o}nter{a-o}t{a-o}ke",1
"960","ssch{u-o}rh''ne",1
"961","{a-o}reinw{a-o}rg",1
"962","sst{a-o}nd{a-o}rtn",1
"963","sst{u-o}dentn",1
"964","a{u-o}issschtel",1
"965","sstr{u-o}kt{u-o}rn",1
"966","sseientisstn",1
"967","ssimn",1
"968","{a-o}rkesster",1
"969","greniz",1
"970","a{p-f}m{a-o}ch",1
"971","ssem{p-f}l",1
"972","ssek{u-o}l{a-o}re",1
"973","derzi{a-o}{u-o}ng",1
"974","ssek{u-o}ndn",1
"975","ssekt{a-o}rn",1
"976","schei{k-ch}{u-o}t",1
"977","sserwissn",1
"978","ss{p-f}ezile",1
"979","{p-f}{a-o}ch",1
"980","{p-f}{a-o}milie",1
"981","ss{p-f}ern",1
"982","gezeig",1
"983","{b-v}ch{u-o}rim",1
"984","ssk{a-o}ַle",1
"985","egi{p-f}tn",1
"986","ewek{u-o}{a-o}zie",1
"987","m{a-o}h",1
"988","hscher{u-o}t",1
"989","{b-v}{a-o}rg",1
"990","ss{a-o}tm{a-o}rer",1
"991","aָrg{a-o}ַnen",1
"992","{p-f}{a-o}r{b-v}re{k-ch}er",1
"993","eltern",1
"994","elitische",1
"995","gemeindess",1
"996","heint",1
"997","elementn",1
"998","rch{b-v}ֿ{u-o}tn",1
"999","disstrikt",1
"1000","elekzie",1
"1001","intern{a-o}zi{a-o}n{a-o}le",1
"1002","h{a-o}rz",1
"1003","emigr{a-o}zie",1
"1004","emir{a-o}tn",1
"1005","ss{u-o}{p-f}lei",1
"1006","k{a-o}{u-o}d",1
"1007","enweir{a-o}ment{a-o}lisstn",1
"1008","{p-f}r{a-o}{b-v}lehmen",1
"1009","tr{a-o}nss{p-f}{a-o}rt{a-o}zie",1
"1010","{p-f}r{a-o}d{u-o}ktn",1
"1011","enerige",1
"1012","enzikl{a-o}ָ{p-f}ּedie",1
"1013","zeln",1
"1014","e{p-f}ektn",1
"1015","ekw{a-o}t{a-o}rische",1
"1016","32.5",1
"1017","{b-v}{a-o}nd",1
"1018","sch{a-o}r{p-f}e",1
"1019","eken{a-o}mie",1
"1020","ss{k-ch}nh",1
"1021","{k-ch}{a-o}r",1
"1022","k{a-o}nk{u-o}rent",1
"1023","ernzte",1
"1024","h{p-f}kr",1
"1025","er{p-f}{a-o}rene",1
"1026","erkler{u-o}ngn",1
"1027","{p-f}ig{u-o}r",1
"1028","{p-f}{a-o}{b-v}rik{a-o}ntn",1
"1029","{p-f}{a-o}{b-v}rikn",1
"1030","pavo",1
"1031","{p-f}ֿaָrem",1
"1032","dervon",1
"1033","{p-f}ּaָsizie",1
"1034","{p-f}ֿ{a-o}se",1
"1035","{b-v}rig{a-o}de",1
"1036","nig{u-o}nim",1
"1037","a{u-o}ti{u-o}t",1
"1038","gd{u-o}lim",1
"1039","{p-f}irmess",1
"1040","lisste",1
"1041","{b-v}isness",1
"1042","{p-f}ֿaַlie",1
"1043","schtiker",1
"1044","{b-v}{a-o}{p-f}reien",1
"1045","schleier",1
"1046","{p-f}{a-o}ndn",1
"1047","{p-f}{a-o}ss{a-o}sschirn",1
"1048","{b-v}ild",1
"1049","{p-f}{a-o}ssteris{a-o}zie",1
"1050","termin",1
"1051","s{u-o}{k-ch}m{a-o}schin",1
"1052","zetlen",1
"1053","gelter",1
"1054","wirtsch{a-o}{p-f}t",1
"1055","{p-f}{a-o}riinigtn",1
"1056","scht{a-o}ַtn",1
"1057","{a-o}r{a-o}{b-v}ische",1
"1058","re{p-f}resent{a-o}zie",1
"1059","{p-f}{a-o}rein",1
"1060","a{u-o}zr",1
"1061","n{a-o}zi{a-o}n{a-o}lism",1
"1062","{p-f}{a-o}r{b-v}rikn",1
"1063","{p-f}{a-o}r{b-v}re{k-ch}n",1
"1064","ek{a-o}n{a-o}mische",1
"1065","{p-f}leischige",1
"1066","heiewei",1
"1067","geselsch{a-o}{p-f}t",1
"1068","nkmh",1
"1069","{p-f}{a-o}rdinsstn",1
"1070","{p-f}{a-o}rh{a-o}ltn",1
"1071","{p-f}{a-o}rsi{k-ch}er{u-o}ngn",1
"1072","{p-f}{a-o}rt{u-o}gesisch-redndike",1
"1073","{p-f}{a-o}rtn",1
"1074","{p-f}l{u-o}inen",1
"1075","{a-o}r{a-o}{p-f}scht{u-o}iss",1
"1076","{p-f}elker",1
"1077","ml{k-ch}{u-o}t",1
"1078","lim{u-o}di",1
"1079","{p-f}{a-o}rl{u-o}sstn",1
"1080","h{a-o}nt",1
"1081","{p-f}schrh",1
"1082","ed{u-o}t",1
"1083","{p-f}{a-o}rn",1
"1084","imigr{a-o}nt",1
"1085","{p-f}{a-o}rni{k-ch}t{u-o}ngss-l{a-o}gern",1
"1086","{p-f}{a-o}rnem",1
"1087","geheime",1
"1088","{p-f}{a-o}r{p-f}l{a-o}gte",1
"1089","res{u-o}lt{a-o}tn",1
"1090","n{a-o}zim",1
"1091","{p-f}{a-o}rscht{a-o}tische",1
"1092","r{a-o}{u-o}dss",1
"1093","sidl{u-o}ngen",1
"1094","k{a-o}m{p-f}i{u-o}ter",1
"1095","k{a-o}ָnss{u-o}mentn",1
"1096","{p-f}ֿaַrsch{p-f}ּreitsste",1
"1097","gewikss",1
"1098","{p-f}eil",1
"1099","{p-f}{a-o}sche-{p-f}elder",1
"1100","{p-f}{u-o}{b-v}like",1
"1101","{p-f}{u-o}iglen",1
"1102","k{a-o}m{a-o}nwelt",1
"1103","m{a-o}{k-ch}t-aָrg{a-o}nen",1
"1104","k{a-o}-a{p-f}er{a-o}zie",1
"1105","vonktn",1
"1106","iinz{u-o}nemen",1
"1107","{p-f}i{a-o}nirn",1
"1108","aַr{b-v}et",1
"1109","{p-f}i{b-v}re",1
"1110","{p-f}ig{u-o}rn",1
"1111","scht{u-o}rm",1
"1112","{p-f}ili{a-o}le",1
"1113","a{u-o}zr{u-o}t",1
"1114","m{a-o}rketss",1
"1115","eid",1
"1116","d{a-o}rf",1
"1117","ki{b-v}{a-o}rd",1
"1118","ind{u-o}sstriele",1
"1119","wirtsch{a-o}{p-f}t-zweig",1
"1120","geschehenisch",1
"1121","{p-f}l{a-o}nz{u-o}ngn",1
"1122","{p-f}l{a-o}sstische",1
"1123","d{u-o}r{k-ch}g{a-o}ss",1
"1124","t{u-o}ischn",1
"1125","{p-f}leisch-{p-f}{a-o}{b-v}rikn",1
"1126","merk{u-o}iri",1
"1127","{p-f}r{a-o}nz{u-o}isisch",1
"1128","{p-f}lissn",1
"1129","redl",1
"1130","{p-f}legn",1
"1131","e{p-f}ekt",1
"1132","k{a-o}ngress",1
"1133","geri{k-ch}t",1
"1134","{p-f}eminisstische",1
"1135","scht{a-o}tss",1
"1136","{b-v}{a-o}leiding{u-o}ngen",1
"1137","{b-v}liz{b-v}riw",1
"1138","{p-f}ersenle{k-ch}e",1
"1139","{p-f}ersenle{k-ch}keitn",1
"1140","t{u-o}en",1
"1141","ii",1
"1142","glider",1
"1143","{p-f}ּerei{a-o}ָ{p-f}ּaָdn",1
"1144","weil",1
"1145","—",1
"1146","{p-f}ֿr{a-o}gn",1
"1147","{p-f}r{a-o}gr{a-o}mirn",1
"1148","{p-f}r{a-o}tesst{a-o}ntische",1
"1149","memd",1
"1150","{b-v}is",1
"1151","gegent",1
"1152","i{b-v}ersez{u-o}ng",1
"1153","aָ{p-f}ּteil",1
"1154","{p-f}r{a-o}{p-f}essi{a-o}nele",1
"1155","{p-f}ֿeierlescher",1
"1156","{p-f}r{a-o}{p-f}essi{a-o}nelere",1
"1157","{p-f}r{a-o}zessn",1
"1158","kschi{a-o}{u-o}t",1
"1159","{p-f}r{u-o}{b-v}irn",1
"1160","nizn",1
"1161","2000",1
"1162","{p-f}{u-o}{p-f}zn",1
"1163","zeleigt",1
"1164","{p-f}reih{a-o}ndl",1
"1165","{p-f}ֿreih{a-o}ַndl",1
"1166","d{u-o}rch",1
"1167","gemeins{a-o}me",1
"1168","{p-f}rinzi{p-f}n",1
"1169","insstit{u-o}ziess",1
"1170","scht{a-o}{p-f}l",1
"1171","a{u-o}niwerss",1
"1172","Windows",1
"1173","{b-v}nin",1
"1174","r{a-o}tge{b-v}er",1
"1175","{p-f}ir",1
"1176","ml{u-o}{k-ch}h",1
"1177","e{p-f}{a-o}{k-ch}ess",1
"1178","{p-f}residentn",1
"1179","{p-f}residentke",1
"1180","{p-f}{a-o}t{a-o}genen",1
"1181","tegli{k-ch}e",1
"1182","{p-f}{a-o}l{a-o}z",1
"1183","{a-o}lmnh",1
"1184","z{u-o}gehern",1
"1185","t{a-o}g",1
"1186","zweign",1
"1187","schri{p-f}t",1
"1188","zwei{p-f}len",1
"1189","re{k-ch}en{u-o}ng",1
"1190","z{u-o}s{a-o}gn",1
"1191","kreiz{b-v}{a-o}n",1
"1192","z{u-o}k{u-o}n{p-f}tign",1
"1193","z{a-o}mscht{u-o}issenischn",1
"1194","z{u-o}rikz{u-o}ge{b-v}n",1
"1195","z{u-o}schti{p-f}te",1
"1196","zi{b-v}{u-o}rische",1
"1197","zigehern",1
"1198","g{a-o}gn",1
"1199","sstei",1
"1200","zei{k-ch}n",1
"1201","zikl",1
"1202","gr{u-o}{p-f}ess",1
"1203","se{k-ch}zig",1
"1204","ssdr",1
"1205","{p-f}{a-o}rh{a-o}ndl{u-o}ng",1
"1206","k{a-o}{a-o}rdin{a-o}tn",1
"1207","schti{b-v}l",1
"1208","k{a-o}t{a-o}likn",1
"1209","kir{k-ch}e",1
"1210","k{a-o}ַteg{a-o}ָrie",1
"1211","ekssident",1
"1212","k{a-o}l{a-o}nis{a-o}zie",1
"1213","k{a-o}l{a-o}nisstn",1
"1214","sײַnen",1
"1215","a{u-o}it{a-o}ss",1
"1216","k{a-o}lirn",1
"1217","ss{p-f}rim",1
"1218","k{a-o}ntr{a-o}ze{p-f}tiw",1
"1219","k{a-o}m{u-o}nisstn",1
"1220","sszene",1
"1221","k{a-o}mere",1
"1222","k{a-o}merz{u-o}{a-o}le",1
"1223","k{a-o}m{p-f}{a-o}nentn",1
"1224","k{a-o}ָm{p-f}ּaָnentn",1
"1225","{b-v}{a-o}w{a-o}sser{u-o}ng",1
"1226","{p-f}riekt",1
"1227","k{a-o}ָngressn",1
"1228","{p-f}{a-o}riinigte",1
"1229","enin",1
"1230","k{a-o}nsssstit{u-o}zie",1
"1231","k{a-o}nssentr{a-o}zie",1
"1232","k{a-o}nss{p-f}ir{a-o}zie",1
"1233","w{a-o}sser",1
"1234","l{a-o}ger",1
"1235","k{a-o}nzentrirte",1
"1236","k{a-o}nzessie",1
"1237","sch{b-v}ch",1
"1238","k{a-o}sstn",1
"1239","{p-f}rinzi{p-f}",1
"1240","ni{u-o}",1
"1241","k{a-o}ssm{a-o}{p-f}{a-o}litische",1
"1242","ek{a-o}n{a-o}miess",1
"1243","25",1
"1244","k{a-o}risme",1
"1245","k{a-o}rn",1
"1246","w{a-o}{u-o}iw{a-o}desch{a-o}{p-f}t",1
"1247","k{u-o}lt{u-o}rn",1
"1248","{b-v}{a-o}{p-f}el",1
"1249","k{u-o}ndn",1
"1250","{a-o}l",1
"1251","idieh",1
"1252","indermit",1
"1253","{a-o}ױssschtel{u-o}ngen",1
"1254","sch{p-f}ּr{a-o}ַ{k-ch}n",1
"1255","leit",1
"1256","zei{k-ch}enen",1
"1257","{b-v}{a-o}scht{a-o}ndteil",1
"1258","kne{k-ch}n",1
"1259","kegn",1
"1260","kenigle{k-ch}e",1
"1261","kenign",1
"1262","der",1
"1263","kelt",1
"1264","kern",1
"1265","{b-v}l{u-o}t",1
"1266","{b-v}reg",1
"1267","kr{a-o}nte",1
"1268","kr{a-o}nkeitn",1
"1269","kr{a-o}{p-f}tn",1
"1270","kritikische",1
"1271","gesezn",1
"1272","krisstn",1
"1273","krn",1
"1274","a{p-f}teil",1
"1275","r{a-o}t{a-o}zie",1
"1276","r{a-o}te",1
"1277","k{a-o}ndid{a-o}t",1
"1278","r{a-o}{p-f}{u-o}{k-ch}e",1
"1279","k{u-o}sst",1
"1280","n{a-o}ch",1
"1281","iin",1
"1282","idische",1
"1283","{p-f}{a-o}rw{a-o}lt{u-o}ng",1
"1284","5",1
"1285","a{u-o}issglitsch{u-o}ng",1
"1286","ne{k-ch}t",1
"1287","r{u-o}nde",1
"1288","kmch{a-o}",1
"1289","reise",1
"1290","risn",1
"1291","tem",1
"1292","{b-v}ensin",1
"1293","{a-o}h{b-v}t",1
"1294","ringl",1
"1295","kesstel",1
"1296","element",1
"1297","{p-f}rezed{u-o}r",1
"1298","regir{u-o}ngn",1
"1299","{b-v}ir",1
"1300","we{k-ch}ter",1
"1301","zdikim",1
"1302","tr{a-o}ַdiziess",1
"1303","re{p-f}ּaָrtern",1
"1304","glid",1
"1305","{b-v}riwl",1
"1306","sskedssch{u-o}el",1
"1307","messedssch",1
"1308","rern",1
"1309","sch{a-o}dn",1
"1310","sch{a-o}{k-ch}tl",1
"1311","d{a-o}ss",1
"1312","mzwt",1
"1313","smir{u-o}t",1
"1314","sse{u-o}d{u-o}t",1
"1315","{p-f}e{u-o}lh",1
"1316","schif",1
"1317","schweml",1
"1318","schwerigkeitn",1
"1319","schwern",1
"1320","derin",1
"1321","mltki",1
"1322","scht{a-o}ָtn",1
"1323","scht{a-o}tn''ss",1
"1324","scht{a-o}ngn",1
"1325","weter",1
"1326","{p-f}ֿaַr{p-f}ֿaַsst",1
"1327","scht{u-o}{p-f}e",1
"1328","schtime",1
"1329","sch{a-o}l{a-o}",1
"1330","schterksse",1
"1331","{a-o}der",1
"1332","w{a-o}ch",1
"1333","schei{k-ch}n",1
"1334","{p-f}i{u-o}t",1
"1335","schi{p-f}n",1
"1336","schikn",1
"1337","schirn",1
"1338","energie",1
"1339","{p-f}{a-o}kisst{a-o}n",1
"1340","schl{a-o}{k-ch}tn",1
"1341","ged{a-o}nk",1
"1342","{b-v}{a-o}m{b-v}e",1
"1343","sin",1
"1344","g{u-o}te",1
"1345","sch{p-f}{a-o}zir",1
"1346","lsch{u-o}n",1
"1347","sche{p-f}erische",1
"1348","sch{p-f}{a-o}nisch-rednde",1
"1349","erzeil{u-o}ng",1
"1350","n{a-o}{k-ch}t",1
"1351","r{b-v}eim",1
"1352","1",1
"1353","tsch-",1
"1354","schrei{b-v}n",1
"1355","schrei{b-v}erke",1
"1356","schri{p-f}tn",1
"1357","mit{u-o}t",1
"1358","ss{u-o}d",1
"1359","t{u-o}{b-v}e''ss",1
"1360","melh",1
"1361","von{a-o}nderscheid{u-o}ng",1
"1362","ssemitische",1
"1363","{k-ch}llim",1
