"","token","frequency.Var1","frequency.Freq"
"1166","fifteen","fifteen",4
"1167","fifty","fifty",24
"1168","fighting","fighting",2
"1169","fighty","fighty",2
"1170","figures","figures",2
"1171","fil","fil",2
"1172","file","file",16
"1173","files","files",12
"1174","fill","fill",2
"1175","fillip","fillip",2
"1176","film","film",20
"1177","films","films",6
"1178","filter","filter",6
"1179","fin","fin",2
"1180","find","find",92
"1181","finding","finding",8
"1182","fine","fine",24
"1183","fined","fined",2
"1184","finger","finger",2
"1185","fingernail","fingernail",2
"1186","finish","finish",4
"1187","finished","finished",6
"1188","finishing","finishing",4
"1189","fire","fire",2
"1190","fired","fired",2
"1191","fireplace","fireplace",2
"1192","fires","fires",4
"1193","first","first",78
"1194","fish","fish",38
"1195","fished","fished",4
"1196","fishing","fishing",48
"1197","fit","fit",4
"1198","fits","fits",2
"1199","fitted","fitted",2
"1200","five","five",44
"1201","fix","fix",4
"1202","fixed","fixed",6
"1203","flame","flame",4
"1204","flash","flash",2
"1205","flat","flat",6
"1206","flea","flea",2
"1207","flies","flies",2
"1208","flight","flight",4
"1209","flirting","flirting",2
"1210","float","float",2
"1211","floor","floor",2
"1212","Florence","Florence",2
"1213","florid","florid",4
"1214","flow","flow",2
"1215","flowers","flowers",6
"1216","flows","flows",2
"1217","Flows","Flows",2
"1218","fluid","fluid",12
"1219","focus","focus",12
"1220","focused","focused",4
"1221","focusing","focusing",10
"1222","folder","folder",4
"1223","follow","follow",14
"1224","food","food",28
"1225","fool","fool",10
"1226","foolish","foolish",2
"1227","football","football",10
"1228","for","for",610
"1229","forced","forced",2
"1230","forest","forest",2
"1231","forever","forever",2
"1232","forget","forget",2
"1233","forgotten","forgotten",2
"1234","form","form",16
"1235","formal","formal",8
"1236","format","format",6
"1237","formatting","formatting",2
"1238","former","former",4
"1239","forms","forms",16
"1240","Formula","Formula",2
"1241","forth","forth",4
"1242","fortnight","fortnight",2
"1243","fortunately","fortunately",2
"1244","forty","forty",18
"1245","forums","forums",2
"1246","forward","forward",2
"1247","found","found",10
"1248","founders","founders",2
"1249","four","four",40
"1250","fourteen","fourteen",2
"1251","fr","fr",2
"1252","frame","frame",14
"1253","framework","framework",8
"1254","frameworks","frameworks",4
"1255","fraud","fraud",2
"1256","freak","freak",4
"1257","freaky","freaky",2
"1258","Freddie","Freddie",2
"1259","free","free",40
"1260","freely","freely",4
"1261","freer","freer",2
"1262","freestyle","freestyle",6
"1263","freestyler","freestyler",2
"1264","French","French",2
"1265","frequent","frequent",2
"1266","fresh","fresh",6
"1267","Friday","Friday",10
"1268","fried","fried",2
"1269","friend","friend",28
"1270","friendly","friendly",2
"1271","friends","friends",18
"1272","friendship","friendship",2
"1273","frightened","frightened",4
"1274","frogs","frogs",2
"1275","from","from",236
"1276","front","front",14
"1277","frustration","frustration",2
"1278","frying","frying",2
"1279","fucking","fucking",4
"1280","fuel","fuel",2
"1281","fulfil","fulfil",2
"1282","full","full",6
"1283","fully","fully",4
"1284","fun","fun",32
"1285","function","function",12
"1286","functional","functional",18
"1287","functionally","functionally",2
"1288","functions","functions",8
"1289","fundamentals","fundamentals",4
"1290","funnily","funnily",2
"1291","funny","funny",26
"1292","further","further",4
"1293","future","future",8
"1294","g","g",18
"1295","gaggling","gaggling",2
"1296","gale","gale",4
"1297","galleries","galleries",2
"1298","gallery","gallery",8
"1299","game","game",8
"1300","gameplay","gameplay",2
"1301","games","games",34
"1302","garden","garden",8
"1303","gardener","gardener",2
"1304","gardens","gardens",2
"1305","gas","gas",2
"1306","gather","gather",2
"1307","Gauguin","Gauguin",4
"1308","gave","gave",8
"1309","gay","gay",10
"1310","GCSE","GCSE",2
"1311","gear","gear",8
"1312","geared","geared",2
"1313","gee","gee",2
"1314","gem","gem",2
"1315","general","general",12
"1316","generalising","generalising",2
"1317","generic","generic",2
"1318","genre","genre",4
"1319","genres","genres",2
"1320","gently","gently",2
"1321","George","George",4
"1322","ger","ger",2
"1323","germs","germs",2
"1324","get","get",426
"1325","gets","gets",36
"1326","getting","getting",72
"1327","GF","GF",2
"1328","gherkin","gherkin",4
"1329","ghosting","ghosting",2
"1330","gigabyte","gigabyte",2
"1331","giggling","giggling",2
"1332","gimme","gimme",2
"1333","girl","girl",18
"1334","girls","girls",6
"1335","give","give",66
"1336","giveaway","giveaway",2
"1337","given","given",4
"1338","gives","gives",22
"1339","giveth","giveth",2
"1340","giving","giving",4
"1341","glad","glad",8
"1342","glass","glass",2
"1343","go","go",272
"1344","God","God",20
"1345","goes","goes",42
"1346","going","going",164
"1347","gon","gon",72
"1348","gone","gone",28
"1349","good","good",206
"1350","goody","goody",4
"1351","google","google",2
"1352","Google","Google",2
"1353","googling","googling",8
"1354","gosh","gosh",2
"1355","got","got",424
"1356","gotta","gotta",16
"1357","government","government",8
"1358","GPUs","GPUs",2
"1359","Grace","Grace",4
"1360","grade","grade",6
"1361","grades","grades",2
"1362","grammar","grammar",2
"1363","grand","grand",2
"1364","grandchildren","grandchildren",4
"1365","granddaughter","granddaughter",4
"1366","grandmother","grandmother",2
"1367","grandson","grandson",2
"1368","granted","granted",2
"1369","graphic","graphic",20
"1370","graphics","graphics",2
"1371","graphs","graphs",2
"1372","great","great",30
"1373","greater","greater",4
"1374","green","green",2
"1375","grew","grew",8
"1376","grid","grid",2
"1377","grinch","grinch",4
"1378","grind","grind",2
"1379","gross","gross",4
"1380","ground","ground",6
"1381","grounds","grounds",2
"1382","group","group",52
"1383","grow","grow",4
"1384","growing","growing",14
"1385","guess","guess",40
"1386","guesswork","guesswork",2
"1387","guild","guild",2
"1388","guinea","guinea",4
"1389","gutter","gutter",2
"1390","guy","guy",18
"1391","guys","guys",2
"1392","h","h",36
"1393","H","H",10
"1394","ha","ha",2
"1395","habitat","habitat",2
"1396","hack","hack",2
"1397","hacked","hacked",2
"1398","hacking","hacking",6
"1399","had","had",172
"1400","hair","hair",10
"1401","hairy","hairy",4
"1402","Haiti","Haiti",4
"1403","half","half",20
"1404","halt","halt",2
"1405","hand","hand",26
"1406","handed","handed",2
"1407","handle","handle",4
"1408","hands","hands",12
"1409","hang","hang",6
"1410","hap","hap",4
"1411","happen","happen",4
"1412","happened","happened",22
"1413","happening","happening",4
"1414","happens","happens",2
"1415","happier","happier",2
"1416","happy","happy",70
"1417","hard","hard",44
"1418","harder","harder",8
"1419","hardest","hardest",2
"1420","Harry","Harry",2
"1421","has","has",90
"1422","hassle","hassle",2
"1423","hate","hate",2
"1424","have","have",838
"1425","having","having",60
"1426","HD","HD",2
"1427","he","he",244
"1428","head","head",54
"1429","header","header",6
"1430","health","health",12
"1431","hear","hear",38
"1432","heard","heard",24
"1433","hearers","hearers",4
"1434","hearing","hearing",26
"1435","heart","heart",10
"1436","heaviness","heaviness",2
"1437","heavy","heavy",4
"1438","held","held",2
"1439","hello","hello",2
"1440","help","help",22
"1441","helped","helped",2
"1442","helpful","helpful",18
"1443","helps","helps",20
"1444","her","her",42
"1445","here","here",96
"1446","hew","hew",2
"1447","hey","hey",2
"1448","hi","hi",2
"1449","hide","hide",4
"1450","high","high",10
"1451","highlight","highlight",2
"1452","highly","highly",4
"1453","him","him",46
"1454","hinderance","hinderance",2
"1455","hint","hint",2
"1456","hints","hints",6
"1457","hired","hired",2
"1458","his","his",36
"1459","historical","historical",4
"1460","history","history",8
"1461","hit","hit",6
"1462","hits","hits",2
"1463","ho","ho",4
"1464","hold","hold",12
"1465","holding","holding",2
"1466","hole","hole",2
"1467","holes","holes",2
"1468","holiday","holiday",8
"1469","home","home",32
"1470","Home","Home",2
"1471","homely","homely",2
"1472","homesick","homesick",4
"1473","hon","hon",2
"1474","hone","hone",4
"1475","honest","honest",26
"1476","honestly","honestly",2
"1477","hope","hope",10
"1478","hopefully","hopefully",16
"1479","hoping","hoping",2
"1480","hopsital","hopsital",2
"1481","horizontally","horizontally",4
"1482","horrible","horrible",2
"1483","horseshoe","horseshoe",4
"1484","hospital","hospital",30
"1485","hospitals","hospitals",2
"1486","hostel","hostel",6
"1487","hotspots","hotspots",4
"1488","hour","hour",4
"1489","hours","hours",20
"1490","house","house",16
"1491","housing","housing",6
"1492","how","how",240
"1493","HREF","HREF",2
"1494","HTML","HTML",34
"1495","HTML5","HTML5",4
"1496","huge","huge",16
"1497","hugely","hugely",4
"1498","huh","huh",2
"1499","human","human",12
"1500","humiliation","humiliation",2
"1501","humour","humour",12
"1502","humourous","humourous",2
"1503","hundred","hundred",22
"1504","hurt","hurt",22
"1505","husband","husband",2
"1506","i","i",56
"1507","I","I",7720
"1508","id","id",2
"1509","IDE","IDE",10
"1510","idea","idea",14
"1511","ideal","ideal",6
"1512","ideas","ideas",34
"1513","identify","identify",2
"1514","idiot","idiot",2
"1515","IE","IE",2
"1516","if","if",556
"1517","ill","ill",58
"1518","iller","iller",2
"1519","illness","illness",34
"1520","illogical","illogical",2
"1521","Illustrator","Illustrator",4
"1522","im","im",2
"1523","image","image",16
"1524","images","images",6
"1525","imagination","imagination",6
"1526","imediacy","imediacy",2
"1527","IMG","IMG",2
"1528","imme","imme",2
"1529","immediacy","immediacy",2
"1530","immediate","immediate",2
"1531","immediately","immediately",6
"1532","implicates","implicates",2
"1533","implications","implications",4
"1534","important","important",46
"1535","impossible","impossible",2
"1536","improved","improved",2
"1537","in","in",1246
"1538","inability","inability",2
"1539","incite","incite",2
"1540","inclined","inclined",4
"1541","included","included",4
"1542","includes","includes",2
"1543","including","including",4
"1544","incoming","incoming",4
"1545","indi","indi",2
"1546","indicator","indicator",2
"1547","indifferent","indifferent",2
"1548","individual","individual",18
"1549","individually","individually",2
"1550","individuals","individuals",8
"1551","indoors","indoors",2
"1552","indulge","indulge",6
"1553","indulgent","indulgent",2
"1554","indulges","indulges",2
"1555","infant","infant",2
"1556","influence","influence",6
"1557","influenced","influenced",2
"1558","influences","influences",2
"1559","informal","informal",6
"1560","information","information",8
"1561","informations","informations",2
"1562","informative","informative",2
"1563","informed","informed",2
"1564","ing","ing",4
"1565","ingeni","ingeni",2
"1566","injection","injection",2
"1567","injured","injured",2
"1568","ink","ink",2
"1569","inkscape","inkscape",2
"1570","Inkscape","Inkscape",2
"1571","innit","innit",6
"1572","inside","inside",48
"1573","insight","insight",4
"1574","inspiration","inspiration",6
"1575","inspirational","inspirational",2
"1576","inspired","inspired",4
"1577","Instagram","Instagram",2
"1578","install","install",4
"1579","installation","installation",4
"1580","installed","installed",2
"1581","installs","installs",2
"1582","instance","instance",10
"1583","instances","instances",2
"1584","instant","instant",2
"1585","instantly","instantly",2
"1586","instead","instead",4
"1587","institutions","institutions",2
"1588","instrument","instrument",4
"1589","instruments","instruments",4
"1590","insult","insult",2
"1591","integrated","integrated",2
"1592","intellect","intellect",2
"1593","intend","intend",2
"1594","inter","inter",6
"1595","interact","interact",4
"1596","interacting","interacting",2
"1597","interaction","interaction",8
"1598","interactions","interactions",6
"1599","interactive","interactive",8
"1600","interest","interest",20
"1601","interested","interested",16
"1602","interesting","interesting",38
"1603","interestingly","interestingly",2
"1604","interests","interests",8
"1605","internet","internet",28
"1606","interpersonal","interpersonal",2
"1607","interpet","interpet",2
"1608","interpret","interpret",16
"1609","interpretate","interpretate",2
"1610","interpretates","interpretates",2
"1611","interpretation","interpretation",8
"1612","interpretations","interpretations",2
"1613","interpreted","interpreted",12
"1614","interpreting","interpreting",4
"1615","intertwined","intertwined",2
"1616","interview","interview",2
"1617","interviewing","interviewing",2
"1618","interviews","interviews",4
"1619","into","into",106
"1620","intricate","intricate",4
"1621","intrigued","intrigued",2
"1622","introduced","introduced",2
"1623","invariably","invariably",8
"1624","invented","invented",2
"1625","inventive","inventive",2
"1626","inversion","inversion",2
"1627","involuntary","involuntary",4
"1628","involve","involve",2
"1629","involved","involved",10
"1630","involves","involves",4
"1631","iOS","iOS",4
"1632","IQ","IQ",2
"1633","iron","iron",2
"1634","irrelevant","irrelevant",2
"1635","is","is",1220
"1636","island","island",6
"1637","islands","islands",2
"1638","isolate","isolate",2
"1639","isolated","isolated",4
"1640","issue","issue",4
"1641","it","it",3932
"1642","it's","it's",2
"1643","itching","itching",2
"1644","its","its",6
"1645","itself","itself",6
"1646","j","j",12
"1647","J","J",2
"1648","jam","jam",2
"1649","Japanese","Japanese",2
"1650","Java","Java",20
"1651","Javascript","Javascript",46
"1652","JDK","JDK",6
"1653","JDKs","JDKs",2
"1654","jealous","jealous",18
"1655","jealousy","jealousy",4
"1656","Jehovah","Jehovah",2
"1657","Jesus","Jesus",2
"1658","Jewish","Jewish",4
"1659","JK","JK",2
"1660","job","job",20
"1661","John","John",2
"1662","joined","joined",2
"1663","joke","joke",28
"1664","jokes","jokes",8
"1665","joking","joking",4
"1666","journals","journals",4
"1667","journey","journey",4
"1668","journeys","journeys",2
"1669","joy","joy",2
"1670","JPEG","JPEG",4
"1671","JQuery","JQuery",16
"1672","ju","ju",2
"1673","judgement","judgement",2
"1674","Julie","Julie",2
"1675","jump","jump",6
"1676","jungle","jungle",4
"1677","just","just",628
"1678","justifies","justifies",2
"1679","justifying","justifying",2
"1680","k","k",2
"1681","keen","keen",2
"1682","keep","keep",36
"1683","keeping","keeping",2
"1684","keeps","keeps",10
"1685","kept","kept",6
"1686","ketchup","ketchup",4
"1687","keyboard","keyboard",2
"1688","kicked","kicked",2
"1689","kid","kid",10
"1690","kids","kids",30
"1691","kill","kill",8
"1692","killed","killed",4
"1693","kind","kind",438
"1694","kinda","kinda",24
"1695","kindergarten","kindergarten",4
"1696","kinds","kinds",4
"1697","king","king",4
"1698","King","King",6
"1699","Kit","Kit",2
"1700","kitchen","kitchen",2
"1701","kn","kn",4
"1702","knew","knew",6
"1703","knife","knife",12
"1704","knit","knit",4
"1705","know","know",1130
"1706","knowedge","knowedge",2
"1707","knowing","knowing",2
"1708","knowledge","knowledge",20
"1709","known","known",10
"1710","knows","knows",6
"1711","Kong","Kong",8
"1712","l","l",48
"1713","L","L",10
"1714","la","la",4
"1715","labourers","labourers",2
"1716","lack","lack",2
"1717","lad","lad",2
"1718","ladder","ladder",2
"1719","ladies","ladies",2
"1720","lads","lads",2
"1721","lady","lady",14
"1722","lakes","lakes",2
"1723","lamb","lamb",2
"1724","land","land",2
"1725","lang","lang",6
"1726","language","language",224
"1727","languages","languages",4
"1728","laptop","laptop",12
"1729","larger","larger",2
"1730","lassie","lassie",2
"1731","last","last",10
"1732","late","late",4
"1733","later","later",16
"1734","laterally","laterally",4
"1735","laugh","laugh",22
"1736","laughing","laughing",4
"1737","laundry","laundry",2
"1738","laureate","laureate",2
"1739","Lawrence","Lawrence",6
"1740","layout","layout",2
"1741","lea","lea",2
"1742","lead","lead",4
"1743","leads","leads",14
"1744","leaflet","leaflet",4
"1745","leafy","leafy",2
"1746","leaps","leaps",2
"1747","learn","learn",46
"1748","learned","learned",4
"1749","learning","learning",18
"1750","learnt","learnt",6
"1751","least","least",8
"1752","leave","leave",12
"1753","leaves","leaves",2
"1754","leaving","leaving",8
"1755","lecture","lecture",2
"1756","lecturer","lecturer",2
"1757","lecturers","lecturers",2
"1758","left","left",20
"1759","leg","leg",4
"1760","legs","legs",2
"1761","lemon","lemon",6
"1762","lend","lend",4
"1763","length","length",14
"1764","lent","lent",4
"1765","less","less",10
"1766","lessons","lessons",6
"1767","let","let",50
"1768","lets","lets",2
"1769","letters","letters",2
"1770","Leukaemia","Leukaemia",2
"1771","level","level",14
"1772","levelled","levelled",2
"1773","li","li",8
"1774","liberty","liberty",4
"1775","license","license",4
"1776","lie","lie",4
"1777","life","life",154
"1778","lifelong","lifelong",2
"1779","light","light",10
"1780","lighter","lighter",2
"1781","lighting","lighting",4
"1782","lightness","lightness",2
"1783","Lightroom","Lightroom",2
"1784","like","like",2376
"1785","liked","liked",2
"1786","likes","likes",10
"1787","limit","limit",2
"1788","limitations","limitations",2
"1789","limited","limited",2
"1790","line","line",82
"1791","lines","lines",10
"1792","linguistic","linguistic",2
"1793","linguistically","linguistically",6
"1794","linguistics","linguistics",4
"1795","link","link",8
"1796","linked","linked",6
"1797","linking","linking",6
"1798","links","links",10
"1799","lint","lint",6
"1800","linting","linting",4
"1801","lion","lion",2
"1802","lip","lip",2
"1803","lis","lis",2
"1804","list","list",6
"1805","listen","listen",62
"1806","listener","listener",6
"1807","listening","listening",30
"1808","listens","listens",2
"1809","literally","literally",12
"1810","literature","literature",8
"1811","little","little",62
"1812","live","live",18
"1813","lived","lived",4
"1814","lives","lives",8
"1815","living","living",16
"1816","Lloyds","Lloyds",4
"1817","lo","lo",2
"1818","load","load",8
"1819","loads","loads",12
"1820","local","local",8
"1821","locally","locally",2
"1822","location","location",16
"1823","lockdown","lockdown",18
"1824","locked","locked",2
"1825","logical","logical",10
"1826","logo","logo",4
"1827","London","London",24
"1828","long","long",60
"1829","longer","longer",2
"1830","look","look",116
"1831","looked","looked",10
"1832","looking","looking",44
"1833","looks","looks",8
"1834","loop","loop",12
"1835","lost","lost",12
"1836","lot","lot",210
"1837","lots","lots",8
"1838","loud","loud",6
"1839","lounging","lounging",4
"1840","love","love",52
"1841","lovely","lovely",12
"1842","lovers","lovers",2
"1843","loves","loves",2
"1844","low","low",8
"1845","lower","lower",4
"1846","luck","luck",4
"1847","luckily","luckily",2
"1848","lucky","lucky",6
"1849","lull","lull",2
"1850","lunch","lunch",2
"1851","lyric","lyric",2
"1852","lyrics","lyrics",16
"1853","m","m",82
"1854","ma","ma",2
"1855","macro","macro",4
"1856","mad","mad",2
"1857","made","made",14
"1858","maelstrom","maelstrom",2
"1859","magic","magic",2
"1860","main","main",58
"1861","mainly","mainly",10
"1862","maintenance","maintenance",2
"1863","major","major",2
"1864","majority","majority",2
"1865","make","make",148
"1866","makes","makes",42
"1867","makeup","makeup",8
"1868","making","making",36
"1869","mama","mama",4
"1870","man","man",116
"1871","managed","managed",4
"1872","manager","manager",2
"1873","manages","manages",2
"1874","manipulating","manipulating",2
"1875","mannered","mannered",2
"1876","many","many",88
"1877","map","map",2
"1878","margin","margin",20
"1879","margins","margins",2
"1880","marine","marine",2
"1881","market","market",2
"1882","marks","marks",4
"1883","markup","markup",2
"1884","marriage","marriage",4
"1885","married","married",24
"1886","marry","marry",6
"1887","Martin","Martin",2
"1888","master","master",6
"1889","mate","mate",4
"1890","material","material",8
"1891","mates","mates",2
"1892","mathematician","mathematician",2
"1893","maths","maths",8
"1894","matter","matter",12
"1895","matters","matters",2
"1896","mature","mature",2
"1897","Maugham","Maugham",6
"1898","may","may",40
"1899","maybe","maybe",136
"1900","me","me",770
"1901","meal","meal",4
"1902","mean","mean",536
"1903","meaning","meaning",18
"1904","meanings","meanings",10
"1905","means","means",32
"1906","meant","meant",10
"1907","meat","meat",2
"1908","mechanism","mechanism",2
"1909","mechanisms","mechanisms",2
"1910","media","media",24
"1911","medical","medical",2
"1912","medication","medication",36
"1913","medicine","medicine",2
"1914","meet","meet",8
"1915","meeting","meeting",6
"1916","megabyte","megabyte",4
"1917","megabytes","megabytes",4
"1918","megapixels","megapixels",4
"1919","melds","melds",2
"1920","melon","melon",2
"1921","meltdown","meltdown",2
"1922","members","members",22
"1923","memory","memory",4
"1924","mental","mental",30
"1925","mentally","mentally",24
"1926","mention","mention",2
"1927","mentioned","mentioned",6
"1928","menu","menu",4
"1929","Mercury","Mercury",2
"1930","merges","merges",2
"1931","mess","mess",2
"1932","messages","messages",2
"1933","messed","messed",2
"1934","messing","messing",6
"1935","met","met",12
"1936","metal","metal",2
"1937","metaphor","metaphor",2
"1938","metaphors","metaphors",20
"1939","method","method",2
"1940","methods","methods",2
"1941","mhm","mhm",52
"1942","Michael","Michael",4
"1943","mick","mick",4
"1944","micro","micro",2
"1945","mid","mid",4
"1946","middle","middle",4
"1947","midway","midway",2
"1948","might","might",90
"1949","mill","mill",6
"1950","millimetre","millimetre",2
"1951","millions","millions",4
"1952","mimicry","mimicry",2
"1953","min","min",2
"1954","Minaj","Minaj",2
"1955","mind","mind",64
"1956","Mind","Mind",2
"1957","mine","mine",18
"1958","minor","minor",2
"1959","mintues","mintues",2
"1960","minute","minute",10
"1961","minutes","minutes",30
"1962","mis","mis",2
"1963","mischief","mischief",2
"1964","miserable","miserable",2
"1965","misinterpret","misinterpret",2
"1966","misinterpretation","misinterpretation",6
"1967","misinterpreted","misinterpreted",8
"1968","miss","miss",20
"1969","Miss","Miss",4
"1970","missed","missed",6
"1971","misunderstood","misunderstood",4
"1972","mix","mix",2
"1973","mixed","mixed",4
"1974","mixes","mixes",2
"1975","mixing","mixing",8
"1976","mm","mm",194
"1977","MMORPG","MMORPG",2
"1978","mo","mo",8
"1979","moat","moat",4
"1980","mobile","mobile",8
"1981","model","model",8
"1982","models","models",2
"1983","modem","modem",2
"1984","modems","modems",2
"1985","modern","modern",2
"1986","module","module",4
"1987","molested","molested",2
"1988","mom","mom",2
"1989","moment","moment",54
"1990","Monday","Monday",6
"1991","money","money",64
"1992","monitor","monitor",12
"1993","months","months",8
"1994","Moon","Moon",2
"1995","moonlight","moonlight",2
"1996","more","more",342
"1997","morning","morning",12
"1998","mos","mos",2
"1999","Moss","Moss",2
"2000","most","most",54
"2001","mostly","mostly",52
"2002","mother","mother",10
"2003","Motion","Motion",2
"2004","motivation","motivation",2
"2005","mould","mould",2
"2006","mourn","mourn",2
"2007","mouse","mouse",8
"2008","mouth","mouth",6
"2009","move","move",8
"2010","moved","moved",8
"2011","movement","movement",4
"2012","moving","moving",2
"2013","MP4","MP4",2
"2014","Mr","Mr",2
"2015","Mrs","Mrs",10
"2016","mu","mu",2
"2017","much","much",142
"2018","muddled","muddled",2
"2019","muddy","muddy",2
"2020","mug","mug",2
"2021","mum","mum",40
"2022","muscles","muscles",4
"2023","music","music",94
"2024","musical","musical",2
"2025","musically","musically",2
"2026","musician","musician",2
"2027","must","must",16
"2028","my","my",832
"2029","myself","myself",62
"2030","n","n",68
"2031","n't","n't",1430
"2032","na","na",154
"2033","nah","nah",2
"2034","name","name",22
"2035","named","named",2
"2036","names","names",6
"2037","naming","naming",6
"2038","narrow","narrow",6
"2039","Nash","Nash",2
"2040","nation","nation",2
"2041","natural","natural",4
"2042","naturally","naturally",8
"2043","nature","nature",8
"2044","natured","natured",2
"2045","naughty","naughty",2
"2046","near","near",6
"2047","necessarily","necessarily",18
"2048","necessary","necessary",4
"2049","neck","neck",2
"2050","need","need",66
"2051","needed","needed",6
"2052","needs","needs",2
"2053","negative","negative",2
"2054","nervous","nervous",2
"2055","net","net",4
"2056","Netbeans","Netbeans",30
"2057","network","network",2
"2058","never","never",66
"2059","new","new",32
"2060","newer","newer",2
"2061","news","news",4
"2062","newsletter","newsletter",4
"2063","newspaper","newspaper",4
"2064","next","next",24
"2065","nice","nice",38
"2066","nicely","nicely",4
"2067","nicer","nicer",2
"2068","Nicky","Nicky",2
"2069","night","night",30
"2070","Nightingale","Nightingale",2
"2071","nightmare","nightmare",4
"2072","Nikon","Nikon",4
"2073","nine","nine",6
"2074","nineteen","nineteen",8
"2075","nineties","nineties",2
"2076","ninety","ninety",2
"2077","Nintendo","Nintendo",4
"2078","nit","nit",4
"2079","nno","nno",10
"2080","no","no",298
"2081","nobody","nobody",28
"2082","nod","nod",2
"2083","non","non",2
"2084","none","none",8
"2085","normal","normal",28
"2086","normally","normally",4
"2087","nose","nose",10
"2088","nostrils","nostrils",2
"2089","not","not",730
"2090","note","note",2
"2091","Notepad","Notepad",12
"2092","nothing","nothing",52
"2093","notice","notice",10
"2094","noticed","noticed",2
"2095","notion","notion",2
"2096","notorious","notorious",2
"2097","noun","noun",2
"2098","nouns","nouns",4
"2099","nout","nout",4
"2100","novel","novel",6
"2101","novels","novels",4
"2102","now","now",236
"2103","nowadays","nowadays",8
"2104","nt","nt",22
"2105","nuance","nuance",2
"2106","nuanced","nuanced",4
"2107","nuggets","nuggets",2
"2108","numb","numb",10
"2109","number","number",2
"2110","numbers","numbers",4
"2111","nursery","nursery",2
"2112","nurses","nurses",2
"2113","nursing","nursing",2
"2114","o","o",18
"2115","O","O",4
"2116","ob","ob",4
"2117","object","object",8
"2118","obvious","obvious",2
"2119","obviously","obviously",90
"2120","occasions","occasions",2
"2121","occupied","occupied",2
"2122","odd","odd",8
"2123","odds","odds",4
"2124","of","of",2048
"2125","off","off",90
"2126","offended","offended",2
"2127","offensive","offensive",2
"2128","office","office",2
"2129","Office","Office",2
"2130","officer","officer",2
"2131","often","often",14
"2132","oh","oh",202
"2133","OK","OK",110
"2134","ol","ol",2
"2135","olanzapine","olanzapine",6
"2136","old","old",60
"2137","older","older",10
"2138","Olympic","Olympic",2
"2139","on","on",748
"2140","once","once",34
"2141","one","one",332
"2142","One","One",2
"2143","ones","ones",22
"2144","ongoing","ongoing",2
"2145","online","online",10
"2146","only","only",64
"2147","onto","onto",6
"2148","ooh","ooh",2
"2149","oop","oop",2
"2150","OOP","OOP",12
"2151","oops","oops",2
"2152","open","open",34
"2153","opener","opener",2
"2154","opens","opens",2
"2155","operate","operate",2
"2156","opportunities","opportunities",2
"2157","opportunity","opportunity",14
"2158","opposite","opposite",12
"2159","opposition","opposition",2
"2160","optical","optical",6
"2161","option","option",2
"2162","options","options",2
"2163","or","or",598
"2164","order","order",2
"2165","organised","organised",2
"2166","orientated","orientated",4
"2167","original","original",16
"2168","originality","originality",2
"2169","originally","originally",4
"2170","oth","oth",2
"2171","other","other",152
"2172","others","others",4
"2173","ought","ought",4
"2174","our","our",42
"2175","ours","ours",2
"2176","ourself","ourself",2
"2177","out","out",316
"2178","outings","outings",2
"2179","outlet","outlet",2
"2180","outlets","outlets",6
"2181","output","output",2
"2182","outset","outset",4
"2183","outside","outside",24
"2184","oven","oven",4
"2185","over","over",72
"2186","overall","overall",2
"2187","overflow","overflow",18
"2188","overheads","overheads",2
"2189","overlayered","overlayered",2
"2190","overnight","overnight",2
"2191","overspill","overspill",2
"2192","overview","overview",2
"2193","ow","ow",2
"2194","owe","owe",6
"2195","own","own",86
"2196","Oxford","Oxford",4
"2197","oyster","oyster",2
"2198","p","p",36
"2199","P","P",14
"2200","p-","p-",2
"2201","package","package",2
"2202","packages","packages",8
"2203","page","page",22
"2204","pages","pages",2
"2205","paid","paid",24
"2206","pain","pain",16
"2207","painful","painful",6
"2208","painted","painted",8
"2209","painting","painting",10
"2210","paintings","paintings",6
"2211","paints","paints",2
"2212","Paintshop","Paintshop",20
"2213","palette","palette",4
"2214","pandemic","pandemic",4
"2215","panel","panel",2
"2216","panicky","panicky",4
"2217","papa","papa",8
"2218","paper","paper",22
"2219","paperback","paperback",2
"2220","papers","papers",4
"2221","paperwork","paperwork",2
"2222","paragraph","paragraph",8
"2223","paragraphs","paragraphs",2
"2224","parameters","parameters",2
"2225","paranoid","paranoid",12
"2226","parcher","parcher",2
"2227","parents","parents",2
"2228","Paris","Paris",2
"2229","park","park",22
"2230","part","part",50
"2231","participants","participants",4
"2232","participating","participating",2
"2233","particular","particular",14
"2234","particularly","particularly",4
"2235","partly","partly",10
"2236","partner","partner",2
"2237","partnership","partnership",2
"2238","parts","parts",4
"2239","party","party",2
"2240","pass","pass",12
"2241","passed","passed",6
"2242","passing","passing",2
"2243","passion","passion",2
"2244","passwords","passwords",2
"2245","past","past",12
"2246","paste","paste",46
"2247","pasting","pasting",2
"2248","pat","pat",2
"2249","patient","patient",4
"2250","patients","patients",4
"2251","Paul","Paul",4
"2252","pause","pause",2
"2253","pay","pay",16
"2254","pe","pe",6
"2255","peace","peace",12
"2256","pebbledashed","pebbledashed",2
"2257","peck","peck",8
"2258","pecking","pecking",2
"2259","peculiar","peculiar",2
"2260","pee","pee",2
"2261","peeing","peeing",2
"2262","peer","peer",2
"2263","peg","peg",2
"2264","pegs","pegs",2
"2265","pen","pen",4
"2266","penalised","penalised",2
"2267","pence","pence",2
"2268","pencil","pencil",4
