"","x"
"250","Kein Wort über die Grenze, die zwischen Anspielung, Hommage, <#MET Sprachspiel #> auf der einen und Plagiat auf der anderen Seite steht, und kein Wort darüber, daß gerade diese Grenze auch Quelle künstlerischer Aktivität sein kann."
"251","man zeigt zwar auf das künstlerische Plagiat, meint aber die ökonomische <#MET Raubkopie #>."
"252","Das »Plagiat« wird ökonomisch und juristisch kritisiert, nicht künstlerisch: Wenn ein Plagiat als preiswürdig erachtet wird, wenn geistiger <#MET Diebstahl #> und Verfälschungen als Kunst hingenommen werden, demonstriert diese Einstellung eine fahrlässige Akzeptanz von Rechtsverstößen im etablierten Literaturbetrieb."
"253","Das »Plagiat« wird ökonomisch und juristisch kritisiert, nicht künstlerisch: Wenn ein Plagiat als preiswürdig erachtet wird, wenn geistiger Diebstahl und <#MET Verfälschungen #> als Kunst hingenommen werden, demonstriert diese Einstellung eine fahrlässige Akzeptanz von Rechtsverstößen im etablierten Literaturbetrieb."
"254","Das »Plagiat« wird ökonomisch und juristisch kritisiert, nicht künstlerisch: Wenn ein Plagiat als preiswürdig erachtet wird, wenn geistiger Diebstahl und Verfälschungen als Kunst hingenommen werden, demonstriert diese Einstellung eine fahrlässige Akzeptanz von <#MET Rechtsverstößen #> im etablierten Literaturbetrieb."
"255","Es ist die Sicht von Großschriftstellern, die von ihrer Arbeit leben können, die ohnehin Verbreitung finden und für die der Absatz so lohnend ist, daß sie seine <#MET Schmälerung #> durch »Raubkopien« tatsächlich fürchten."
"256","Es ist die Sicht von Großschriftstellern, die von ihrer Arbeit leben können, die ohnehin Verbreitung finden und für die der Absatz so lohnend ist, daß sie seine Schmälerung durch »<#MET Raubkopien #>« tatsächlich fürchten."
"257","Nicht, dass das jemand erwartet hätte nach dem ganzen Bohei der vergangenen Wochen, außer vielleicht die Großschriftsteller, die noch schnell am Montag die Leipziger Erklärung veröffentlicht hatten, in der sie warnen: „Wenn ein Plagiat als preiswürdig erachtet wird, wenn geistiger <#MET Diebstahl #> und Verfälschungen als Kunst hingenommen werden, demonstriert diese Einstellung eine fahrlässige Akzeptanz von Rechtsverstößen im etablierten Literaturbetrieb.“"
"258","Nicht, dass das jemand erwartet hätte nach dem ganzen Bohei der vergangenen Wochen, außer vielleicht die Großschriftsteller, die noch schnell am Montag die Leipziger Erklärung veröffentlicht hatten, in der sie warnen: „Wenn ein Plagiat als preiswürdig erachtet wird, wenn geistiger Diebstahl und <#MET Verfälschungen #> als Kunst hingenommen werden, demonstriert diese Einstellung eine fahrlässige Akzeptanz von Rechtsverstößen im etablierten Literaturbetrieb.“"
"259","Deshalb gibt es jetzt so viele Fälle von Plagiaten, von <#MET Missbräuchen #> und Manipulationen des geistigen Eigentums anderer, derer wir nicht durch bloße Verbote Herr werden können."
"260","Deshalb gibt es jetzt so viele Fälle von Plagiaten, von Missbräuchen und <#MET Manipulationen #> des geistigen Eigentums anderer, derer wir nicht durch bloße Verbote Herr werden können."
"261","Deshalb gibt es jetzt so viele Fälle von Plagiaten, von Missbräuchen und Manipulationen des geistigen <#MET Eigentums #> anderer, derer wir nicht durch bloße Verbote Herr werden können."
"262","Themen: Kunst · Literatur · <#MET Zitat #> + Plagiat Schlagwörter: Kunst Realismus Remix Shields"
"263","Während literarische Collage, Montagetechniken, Anspielungen und Zitate in den Kanon aufgenommen sind, wo sogar Brechts prekäre Quellenlage bestenfalls mit einem schenkelklopfenden Herrenwitz noch erwähnt wird, ist ein ähnliches Vorgehen im Bereich der Popkultur gefährlich, Plagiat, unmoralisch, <#MET Diebstahl #>."
"264","Die Poststrukturalisten haben ja bereits theoretisch erprobt, was durch das Internet praktisch werden will: den Tod des Autors, die Intertextualität, das <#MET Schreiben #> der Schrift, den unaufhörlichen Rumor des Sprechens, Plagiat und Palimpsest etc etc."
"265","Die Poststrukturalisten haben ja bereits theoretisch erprobt, was durch das Internet praktisch werden will: den Tod des Autors, die Intertextualität, das Schreiben der <#MET Schrift #>, den unaufhörlichen Rumor des Sprechens, Plagiat und Palimpsest etc etc."
"266","Die Poststrukturalisten haben ja bereits theoretisch erprobt, was durch das Internet praktisch werden will: den Tod des Autors, die Intertextualität, das Schreiben der Schrift, den unaufhörlichen Rumor des Sprechens, Plagiat und <#MET Palimpsest #> etc etc."
"267","Und natürlich sind an der ganzen Misere mit den Plagiaten, den <#MET Kopien #> und dem Diebesgut geistigen Eigentums einzig und allein die bösen Fernöstler schuld."
"268","Und natürlich sind an der ganzen Misere mit den Plagiaten, den Kopien und dem <#MET Diebesgut #> geistigen Eigentums einzig und allein die bösen Fernöstler schuld."
"269","Und natürlich sind an der ganzen Misere mit den Plagiaten, den Kopien und dem Diebesgut geistigen <#MET Eigentums #> einzig und allein die bösen Fernöstler schuld."
"270","Kunst: Kontext und Bezug sind (Mittel der) Kunst Mashup Remix <#MET Kontrafaktur #> Intertextualität"
"271","Kunst: Kontext und Bezug sind (Mittel der) Kunst Mashup Remix Kontrafaktur <#MET Intertextualität #>"
"272","Zitat <#MET Anspielung #> Kollaboration Collage Sampling Merz Kulturpoetik Plagiat Hommage Motiv Stoff Link Dada Postmoderne Kunst ist nicht nur im Außenverhältnis Kontext und Bezug: Kontext und Bezug sind selbst Mittel der Kunst."
"273","Zitat Anspielung <#MET Kollaboration #> Collage Sampling Merz Kulturpoetik Plagiat Hommage Motiv Stoff Link Dada Postmoderne Kunst ist nicht nur im Außenverhältnis Kontext und Bezug: Kontext und Bezug sind selbst Mittel der Kunst."
"274","Und dann erzählte der Moderator noch von dem Fan, der sich in Argentinien eine <#MET Nachbildung #> des Weltpokals bestellt hat."
"275","via [...] [...] <#MET Zitat #> und Plagiat?"
"276","Da sehe ich keine Hommage, kein Spamling oder <#MET Remixen #> – das ist ein Plagiat, eine Kopie!"
"277","Da sehe ich keine Hommage, kein Spamling oder Remixen – das ist ein Plagiat, eine <#MET Kopie #>!"
"278","Themen: Autor + Text · In eigener Sache · Urheberrecht · Urteile · <#MET Zitat #> + Plagiat · Ökonomie Schlagwörter: Bundesgerichtshof Deutschlandradio Frankfurter Allgemeine Zeitung Journalismus Perlentaucher Süddeutsche Zeitung"
"279","• ob die bloße <#MET Übernahme #> von Strukturen oder Argumenten bereits ein Plagiat ist;"
"280","• ob falsche oder unvollständige <#MET Fußnoten #> als Plagiat zu werten sind;"
"281","• ob erfundene Daten oder <#MET Quellen #> als Plagiat oder als Täuschung zu werten sind;"
"282","• ob erfundene Daten oder Quellen als Plagiat oder als <#MET Täuschung #> zu werten sind;"
"283","„Ein Plagiat ist also der <#MET Diebstahl #> von Ideen, Text, Bildern oder anderem Anderer, die dann als etwas Eigenes ausgegeben werden."
"284","„Ein Plagiat ist also der Diebstahl von <#MET Ideen #>, Text, Bildern oder anderem Anderer, die dann als etwas Eigenes ausgegeben werden."
"285","Ein Plagiat ist das genaue <#MET Gegenteil #> einer Fälschung."
"286","Ein Plagiat ist das genaue Gegenteil einer <#MET Fälschung #>."
"287","Ein <#MET Fälscher #> gibt sein Werk als das Werk eines anderen aus, ein Plagiator gibt das Werk anderer als sein eigenes aus."
"288","Copy & Paste Die wohl bekannteste Form des Plagiierens ist die mittels copy und paste – bei dieser Form ist völlig klar, dass es sich um ein Plagiat handelt, da <#MET Textstellen #> aus dem Internet oder einem Buch eins zu eins übernommen werden, ohne Angabe des ursprünglichen Autors."
"289","Die wohl bekannteste Form des Plagiierens ist die mittels copy und paste – bei dieser Form ist völlig klar, dass es sich um ein Plagiat handelt, da <#MET Textstellen #> aus dem Internet oder einem Buch eins zu eins übernommen werden, ohne Angabe des ursprünglichen Autors."
"290","<#MET Strukturübernahme #> Diese Form des Plagiats ist umstritten."
"291","Der Verdacht, dass es sich beispielsweise bei einer <#MET Hausarbeit #> um ein Plagiat handelt, kann schon beim Lesen des Textes aufkommen."
"292","Extrem gut geschriebene Arbeiten, ein Stilwechsel innerhalb der Arbeit, relativ unbekannte <#MET Fremdwörter #>, Rechtschreib- oder Grammatikfehler können Indizien für ein Plagiat sein, müssen es aber nicht."
"293","Extrem gut geschriebene Arbeiten, ein Stilwechsel innerhalb der Arbeit, relativ unbekannte Fremdwörter, Rechtschreib- oder <#MET Grammatikfehler #> können Indizien für ein Plagiat sein, müssen es aber nicht."
"294","Auch wenn viele (nicht alle) <#MET Formulierungen #> ausgetauscht oder weggekürzt wurden, so kann der rechte Text nicht ohne Kenntnis des linken entstanden sein, denn er folgt der Gedankenführung sehr eng und verwendet dasselbe Grundgerüst an Informationen."
"295","Trotz geringfügiger <#MET Änderungen #> und einiger Kürzungen sind die ursprünglichen Sätze deutlich erkennbar."
"296","Trotz geringfügiger Änderungen und einiger <#MET Kürzungen #> sind die ursprünglichen Sätze deutlich erkennbar."
"297","[ Setzer : was für ein text ist DAS ? - Autorenkollektiv : Keine Ahnung , war plötzlich da . - Setzer : Na , da werdet Ihr Euch 1 schöne <#MET Ohrfeige #> wegen Plagiats einhandeln... - Autorenkollektiv : Dann kennen wir mindestens die Quelle und können 1 entsprechenden Link setzen . Trotzdem bestreitet die VEB ""Klartext"" jede inhaltliche Verantwortung für die offensichtliche Ausleihe oder Kopie."
"298","Heruntergeladene <#MET Inhalte #> sind noch kein Plagiat."
"299","Ich zieh mir auch als <#MET Pirat #> kein Lied auf die Platte, press es auf eine CD und verkauf es als mein Werk weiter."
"300","Das Plagiat in der Einleitung ist eine <#MET Provokation #>"
"301","Das Plagiat in der Einleitung ist eine <#MET Provokation #> 2011-02-18 um 5:38 nachmittags"
"302","Das Vorgehen desjenigen, der diese Arbeit geschrieben hat, ist beispiellos in seiner <#MET Dreistigkeit #>."
"303","Wer also auf fremde Texte zugreifen möchte, Tweets kopieren will oder einfach mitreden möchte, der wird an dieser Stelle erfahren, was ein <#MET Zitat #> und was ein Plagiat ist, wann Texte geschützt sind und"
"304","Wird die <#MET Quelle #> nicht angegeben, spricht man zudem von einem Plagiat."
"305","Dabei kann auch ein <#MET Verstoß #> gegen weitere Regeln vorliegen."
"306","Ist der Text urheberrechtlich geschützt?Ja, wenn individuell-persönlich – es darf aus ihm nur mit eigenen Worten oder im Rahmen des Zitats kopiert werden.Nein, wenn sachlich und pragmatisch – er darf beliebig kopiert werden, außerbesondere Regeln verpflichten (und Höflichkeit gebietet) auch bei Übernahme von <#MET Ideen #> zur Quellenangabe (sonst ist es Plagiat)."
"307","Zu Risiken und Nebenwirkungen fragen Sie Ihren Doktorvater oder den Anwalt Ihres Vertrauens bei Terhaag & Partner Das Plagiat im <#MET Wandel #> der Zeit bei Telemedicus Wikipedia zum Zitat und Plagiat"
"308","Zu Risiken und Nebenwirkungen fragen Sie Ihren Doktorvater oder den Anwalt Ihres Vertrauens bei Terhaag & Partner Das Plagiat im Wandel der Zeit bei Telemedicus Wikipedia zum <#MET Zitat #> und Plagiat"
"309","Das Plagiat im <#MET Wandel #> der Zeit bei Telemedicus Wikipedia zum Zitat und Plagiat Dr. strg."
"310","Das Plagiat im Wandel der Zeit bei Telemedicus Wikipedia zum <#MET Zitat #> und Plagiat Dr. strg."
"311","Wenn ein Text kopiert und geringfügig geändert wird, so dass es von <#MET Copyscape #> nicht mehr als Plagiat erkannt wird, das Grundwesen des Textes aber erhalten bleibt, handelt es sich dann auch um ein Plagiat?"
"312","<#MET Respekt #>, Herr Guttenberg, dass sie sich das trauen «Kissaki Blog [...] mit so einem Umfang an Plagiat hatte ich ja auch nicht [...] 2011-02-22 um 5:50 nachmittags"
"313","Sie haben sich nach Fernsehberichten bei der Veranstaltung im Hessischen, auf die Herr Kollege Trittin schon Bezug genommen hatte, ausgerechnet in Anwesenheit von Herrn Koch auf die Bühne gestellt und ausgerufen: „Vor Ihnen steht das <#MET Original #> und nicht das Plagiat.“"
"314","Was setzt das an bewusstem Täuschungsvorsatz und <#MET Ähnlichem #> voraus?"
"315","Somit ist das keine Nutzung, sondern das ist nichts anderes als eine <#MET Fälschung #>, eine Übernahme, ein plumpes Plagiat."
"316","Somit ist das keine Nutzung, sondern das ist nichts anderes als eine Fälschung, eine <#MET Übernahme #>, ein plumpes Plagiat."
"317","Der einzige Ort, wo man trotz <#MET Abschreibens #>, trotz Plagiats, trotz wissenschaftlicher Fehler seinen Arbeitsplatz nicht verliert, ist das Kabinett von Frau Merkel;"
"318","Eine passende politische Reaktion in den letzten Tagen wäre in diesem Sinne die folgende gewesen: “Ich habe <#MET Mist #> gebaut, ich habe ein Plagiat angefertigt."
"319","Ob ersteres schlimmer ist als Plagiat oder eben umgekehrt – beides ist ein großer <#MET Mist #> und führt jetzt vielleicht dazu, dass auch Sachentscheidungen in der Politik leiden."
"320","Guttenbergs Realitätsverlust im <#MET Wortlaut #>: “Der Vorwurf, meine Doktorarbeit sei ein Plagiat, ist abstrus” „Meine von mir verfasste Dissertation ist kein Plagiat, und den Vorwurf weise ich mit allem Nachdruck von mir.“"
"321","Guttenbergs Realitätsverlust im Wortlaut: “Der Vorwurf, meine Doktorarbeit sei ein Plagiat, ist abstrus” „Meine von mir verfasste Dissertation ist kein Plagiat, und den Vorwurf weise ich mit allem <#MET Nachdruck #> von mir.“"
"322","“Der Vorwurf, meine Doktorarbeit sei ein Plagiat, ist abstrus ” „Meine von mir verfasste Dissertation ist kein Plagiat, und den Vorwurf weise ich mit allem <#MET Nachdruck #> von mir.“"
"323","Die Internetgemeinde hat es in einer beispiellosen Art und <#MET Weise #> geschafft, eine Vielzahl von eindeutigen Plagiaten in der Dissertation von Herrn zu Guttenberg zu belegen."
"324","Nicht nur der Deutsche Hochschulverband ist “empört über die <#MET Verharmlosung #> von Plagiaten”."
"325","Stolpert einer aus der Partei in eine delikate Situation, weiß sich aber hernach mit Bigotterie und der beleidigten Aura, von der Welt da draußen – der Welt außerhalb Bayerns! – nicht verstanden worden zu sein, aus seiner Kalamität zu hieven, so gilt das für Christsoziale etwa soviel, wie die Abtrennung der Vorhaut bei manchen Religionsgruppen oder ein schön sichtbarer Schmiss an Kinn oder Backe bei allerlei Burschen – man könnte auch sagen, Guttenbergs Plagiat ist dessen <#MET Beschneidung #> oder dessen abgetrennte Vorhaut."
"326","Es ist eine <#MET Schande #>!"
"327","… und veredelt so gewissermaßen die unterhaltsamen Medienberichte, die das Bild des jungen Ministers in der Vergangenheit prägten, selbstverständlich inklusive <#MET Fußnoten #>."
"328","Dann hatte er einen <#MET Ghostwriter #> und der Betrug ist nicht nur ungeschickt und dämlich, sondern noch dazu dreist."
"329","Mit der Verquickung dieser Sachverhalte, mit der <#MET Gleichsetzung #> von Filesharing mit Produktfälschungen und Plagiaten, erstickt die Content-Industrie seit Jahren jede sachliche Diskussion mit dem Unargument, die »Generation Kostenlos« sei moralisch verkommen und wolle sowieso nur alles umsonst."
"330","Mit der Verquickung dieser Sachverhalte, mit der Gleichsetzung von <#MET Filesharing #> mit Produktfälschungen und Plagiaten, erstickt die Content-Industrie seit Jahren jede sachliche Diskussion mit dem Unargument, die »Generation Kostenlos« sei moralisch verkommen und wolle sowieso nur alles umsonst."
"331","Mit der Verquickung dieser Sachverhalte, mit der Gleichsetzung von Filesharing mit <#MET Produktfälschungen #> und Plagiaten, erstickt die Content-Industrie seit Jahren jede sachliche Diskussion mit dem Unargument, die »Generation Kostenlos« sei moralisch verkommen und wolle sowieso nur alles umsonst."
"332","Sie können sehr wohl zwischen <#MET Privatkopie #>, Plagiat oder Diebstahl unterscheiden."
"333","Sie können sehr wohl zwischen Privatkopie, Plagiat oder <#MET Diebstahl #> unterscheiden."
"334","18. In wie vielen Fällen kam es nach Kenntnis der Bundesregierung in den vergangenen fünf Jahren im Zusammenhang mit Plagiaten bei wissenschaftlichen Arbeiten zu Verfahren bzw. Verurteilungen wegen <#MET Verstoßes #> gegen das Urheberrecht, und wie verteilen sich die Fälle auf Abschlussarbeiten, Dissertationen und sonstige wissenschaftliche Veröffentlichungen?"
"335","Schließlich waren es nicht die Gutachter, der Prüfungsausschuss oder die Promotionskommission der rechts- und wirtschaftswissenschaftlichen Fakultät der Universität Bayreuth, sondern ein einziger von vier Rezensenten der Dissertation von Karl-Theodor Freiherr zu Guttenberg, dem die <#MET Stilbrüche #> auffielen und der dem Verdacht des Plagiats nachging."
"336","Der detaillierte Nachweis über den Umfang der <#MET Täuschungen #> wurde durch die Arbeit Hunderter Internetnutzer aus aller Welt erbracht, die ihre Ergebnisse in das „Wiki GuttenPlag“ eintrugen."
"337","2. in Abstimmung mit den Ländern die Hochschulrektorenkonferenz, den Wissenschaftsrat und die Gemeinsame Wissenschaftskonferenz zu bitten, Empfehlungen für den Schutz vor <#MET Täuschung #> und dem Verfälschen von Daten, den Umgang mit Plagiaten und zum Schutz geistigen Eigentums zu entwickeln bzw. weiterzuentwickeln, sowie Schritte zu vereinbaren, wie es zu einer möglichst schnellen, einheitlicheren und verbindlichen Umsetzung an den Hochschulen kommen kann."
"338","2. in Abstimmung mit den Ländern die Hochschulrektorenkonferenz, den Wissenschaftsrat und die Gemeinsame Wissenschaftskonferenz zu bitten, Empfehlungen für den Schutz vor Täuschung und dem <#MET Verfälschen #> von Daten, den Umgang mit Plagiaten und zum Schutz geistigen Eigentums zu entwickeln bzw. weiterzuentwickeln, sowie Schritte zu vereinbaren, wie es zu einer möglichst schnellen, einheitlicheren und verbindlichen Umsetzung an den Hochschulen kommen kann."
"339","2. in Abstimmung mit den Ländern die Hochschulrektorenkonferenz, den Wissenschaftsrat und die Gemeinsame Wissenschaftskonferenz zu bitten, Empfehlungen für den Schutz vor Täuschung und dem Verfälschen von Daten, den Umgang mit Plagiaten und zum Schutz geistigen <#MET Eigentums #> zu entwickeln bzw. weiterzuentwickeln, sowie Schritte zu vereinbaren, wie es zu einer möglichst schnellen, einheitlicheren und verbindlichen Umsetzung an den Hochschulen kommen kann."
"340","Eidesstattliche Erklärungen, die Arbeit eigenständig abgefasst zu haben, sind ein geeignetes Instrument, die Schwere des <#MET Vergehens #> bei Plagiaten und geistigem Diebstahl deutlich zu machen."
"341","Eidesstattliche Erklärungen, die Arbeit eigenständig abgefasst zu haben, sind ein geeignetes Instrument, die Schwere des Vergehens bei Plagiaten und geistigem <#MET Diebstahl #> deutlich zu machen."
"342","Ich wage mal zu behaupten, dass dies ursprünglich meine <#MET Idee #> war und diese Sendung nur ein Plagiat ist."
"343","In ihrem Abschlussbericht findet die Uni Bayreuth deutliche Worte für das Plagiat zu Guttenbergs: „Nach eingehender <#MET Würdigung #> der gegen seine Dissertationsschrift erhobenen Vorwürfe stellt die Kommission fest, dass Herr Freiherr zu Guttenberg die Standards guter wissenschaftlicher Praxis evident grob verletzt und hierbei vorsätzlich getäuscht hat.“"
"344","Darüber hinaus erklärt er leicht verständlich den Unterschied zwischen Plagiat und einer <#MET Verletzung #> des Urheberrechts (via NRW-Blog)."
"345","Leider berücksichtigt auch die SPD nicht das Potenzial von Open Access zur Aufdeckung und Vermeidung von Plagiaten und <#MET Fälschungen #>."
"346","Themen: <#MET Zitat #> + Plagiat"
"347","Hierin wird die schwierige Materie des <#MET Zitierens #> erklärt, was zu beachten ist und ab wann man überhaupt von einem Plagiat sprechen kann."
"348","Gehen Jung von Matt die <#MET Ideen #> aus?"
"349","<#MET Eigentumsrechte #> sind in der virtuellen Welt neuen Bedrohungen ausgesetzt."
"350","So, jetzt habe ich mich eine Stunde durch Anne Will gequält und nach viel peinlichem Blabla ist das Anführen von ASBOs in Großbritannien im Zusammenhang mit Plagiaten der absolute Höhepunkt der <#MET Dreistigkeit #>."
"351","[...] Koch-Mehrin [fiel] nichts besseres ein, als der Universität die Schuld an ihrem Plagiat zuzuschieben und mit einer gerichtlichen Klage gegen den <#MET Titelentzug #> zu drohen."
"352","Die dreisten Plagiatoren Guttenberg war das <#MET Beispiel #> für die wohl dreisteste Form des Plagiats, die man sich vorstellen kann."
"353","Diese Art des Abschreibens nennt sich »Bauernopfer«, weil man einen unbedeutenden <#MET Teil #> des Plagiats opfert um es als Ganzes zu erhalten."
"354","Neu ist lediglich die starke öffentliche Aufmerksamkeit in Verbindung mit den modernen Internet-Techniken zur Recherche nach gleichlautenden <#MET Textstellen #>."
"355","Im Unterschied zur unterstellten Bestechlichkeit, zur Willfährigkeit gegenüber Lobbys oder zu gekauften Überzeugungen haben Bürger jedoch mit der Enthüllung von Plagiaten erstmals die Möglichkeit, ihren Volksvertretern <#MET Täuschung #> und Betrug verbindlich nachzuweisen."
"356","Das Buch beinhalte Islamophobe, Ausländer-feindliche, rassistische Inhalte und Hass-Reden gegen Journalisten, die eine multikulturelle Gesellschaft unterstützen und sogar eine Bombenbau-Anleitung. Viele <#MET Teile #> des Buches seien möglicherweise ein Plagiat des Una-Bombers."
"357","Die Informationen, welche <#MET Teile #> des Buches möglicherweise ein Plagiat des Una-Bombers sein könnten, werden derzeit noch geprüft."
"358","Viele <#MET Teile #> des Buches seien möglicherweise ein Plagiat des Una-Bombers."
"359","Heute dann der erste Post Das Honigkuchenpferd auf LSD, dann bei Google+ wilde Diskussionen zum Post über mein politisches Empfinden, Randgruppen die keine [...] Na, und die Kurz-Rezi des <#MET Piraten #>-Plakats liest sich wie ein Plagiat der längeren Version von Micha Schulze, die er vor einem Monat auf Queer.de veröffentlichte…"
"360","Heute dann der erste Post Das Honigkuchenpferd auf LSD, dann bei Google+ wilde Diskussionen zum Post über mein politisches Empfinden, Randgruppen die keine [...] Na, und die Kurz-Rezi des Piraten-<#MET Plakats #> liest sich wie ein Plagiat der längeren Version von Micha Schulze, die er vor einem Monat auf Queer.de veröffentlichte…"
"361","Heute dann der erste Post Das Honigkuchenpferd auf LSD, dann bei Google+ wilde Diskussionen zum Post über mein politisches Empfinden, Randgruppen die keine [...] Na, und die Kurz-Rezi des Piraten-Plakats liest sich wie ein Plagiat der längeren <#MET Version #> von Micha Schulze, die er vor einem Monat auf Queer.de veröffentlichte…"
"362","Themen: Kunst · Musik + MP3 · <#MET Zitat #> + Plagiat Schlagwörter: Appropriation Art Bob Dylan"
"363","Themen: Kunst · Musik + MP3 · Zitat + Plagiat Schlagwörter: <#MET Appropriation #> Art Bob Dylan"
"364","Das beklage ich aber nicht, indem ich sage: „Das ist ein unzulässiges Plagiat“, sondern ich betrachte das als <#MET Kompliment #>."
"365","B. die Veröffentlichung eines selbstgemachten Aktfotos der eigenen Person in einem Sexmagazin zur Wiederherstellung des eigenen Selbstwertgefühls 1686 , die Mitnahme eines Kettensägeantriebsaggregats und anderer Gegenstände nach Hause 1687 , das Erschleichen eines Leistungsscheins im Rahmen einer universitären Diplomvorprüfung durch „<#MET Abschreiben #>“ ohne Kenntlichmachung des Zitats (Plagiat)"
"366","B. die Veröffentlichung eines selbstgemachten Aktfotos der eigenen Person in einem Sexmagazin zur Wiederherstellung des eigenen Selbstwertgefühls 1686 , die Mitnahme eines Kettensägeantriebsaggregats und anderer Gegenstände nach Hause 1687 , das Erschleichen eines Leistungsscheins im Rahmen einer universitären Diplomvorprüfung durch „Abschreiben“ ohne <#MET Kenntlichmachung #> des Zitats (Plagiat)"
"367","B. die Veröffentlichung eines selbstgemachten Aktfotos der eigenen Person in einem Sexmagazin zur Wiederherstellung des eigenen Selbstwertgefühls 1686 , die Mitnahme eines Kettensägeantriebsaggregats und anderer Gegenstände nach Hause 1687 , das Erschleichen eines Leistungsscheins im Rahmen einer universitären Diplomvorprüfung durch „Abschreiben“ ohne Kenntlichmachung des <#MET Zitats #> (Plagiat)"
"368","1688 oder der <#MET Diebstahl #> aus einer Gemeinschaftskasse 1689 – festgestellt wurden, die aber jedenfalls nicht bis zu 113 zivile Todesopfer gefordert haben, wirkt die Entscheidung, im vorliegenden Fall kein Disziplinarverfahren einzuleiten, noch unverständlicher."
"369","Aber von <#MET Fußnoten #> halten Sie wohl nicht viel."
"370","Die Schulbuchverlage, die die Entwicklung (wieder einmal) verschlafen haben, wollen sich auf diese absurde <#MET Weise #> vor “Plagiaten” in digitalisierter Form schützen."
"371","Foto: Nancy Sims, CC-by-nc Themen: Urheberrecht · Urteile · verwandte Schutzrechte · <#MET Zitat #> + Plagiat Schlagwörter: Frankfurter Allgemeine Zeitung Journalismus Leistungsschutzrecht für Presseverlage Perlentaucher Süddeutsche Zeitung <#MET Zitat #>e"
"372","Die lebt offenbar in einem <#MET Paralleluniversum #>."
"373","Dennoch hat mich erschreckt, wie oft in Medien und im persönlichen Gespräch das Plagiat als <#MET Kavaliersdelikt #> abgetan, gar als spitzbübisches Meisterstück verklärt wurde."
"374","(Beifall bei der CDU/CSU sowie bei Abgeordneten der FDP – Lachen bei der SPD und dem BÜNDNIS 90 / DIE GRÜNEN – Hubertus Heil [Peine] [SPD]: <#MET Klauen #> Sie es uns bitte!"
"375","Sie müssen sich jetzt entscheiden, ob es sich hierbei um ein Plagiat Ihrer <#MET Ideen #> handelt oder ob es zu kompliziert ist."
"376","Für den Verbraucher ist es schwer bis unöglich, zwischen <#MET Originalen #> und Plagiaten zu unterheiden, noch dazu, weil er durch den ersten Markt reits daran gewöhnt wird, Reimporte und Umverpaungen zu akzeptieren und ihnen zu vertrauen."
"377","Das Phänomen wissenschaftlichen Fehlverhaltens in Form von Plagiaten, <#MET Datenmanipulation #> und anderen Täuschungsversuchen ist vielfältig."
"378","Dass Sie – wenn Sie schon die Verwendung von Doktortiteln im gesellschaftlichen <#MET Kontext #> austreten – natürlich das Wort „Plagiat“ einbringen, überrascht dann auch nicht mehr, und dass das Thema „Plagiate“ fast eine halbe Seite Ihres Antrages in Anspruch nimmt, entlarvt Sie."
"379","Die Debatte um den Wert der <#MET Kopie #> und des Plagiats ist längst in die nächste Runde gegangen."
"380","” Jeder, der sich auch nur ein bisschen für Politik interessiert, weiß, dass Wulff sich so lächerlich gemacht hat, wie selten ein Politker vor ihm (okay, Guttenberg ist in einer ähnlichen Position, wenn er immer noch behauptet, dass er kein absichtliches Plagiat angefertigt hat – <#MET Realitätsverleugnung #>) Die Realität konnte man gestern sehen."
"381","Eine kritische Auseinandersetzung mit den eigenen Denkweisen und Gewohnheiten kann am Beispiel von Wikipedia veranschaulicht werden und ist eine gute Chance, das Unwissen im <#MET Kontext #> von Plagiaten aufzudecken und in ein Verständnis für gemeinschaftliches Denken und Arbeiten umzuwandeln."
"382","Warum vergleicht die Musikindustrie Kopieren mit dem <#MET Diebstahl #> eines Fahrrads?"
"383","<#MET Kopie #> vs. Plagiat <#MET Kopie #> vs."
"384","Mit dieser Forderung, vom Guttenbergschen Plagiat (das im <#MET Gegensatz #> zum Axolotl eindeutig nicht kommerziell war) bis zur agitatorischen Textcollage jeden Mist zu legalisieren, killt Ihr das Urheberpersönlichkeitsrecht."
"385","Man braucht überhaupt kein Urheberrecht um Plagiate zu verurteilen, da tut es eigentlich ganz einfach der <#MET Straftatbestand #> des Betruges."
"386","Man braucht überhaupt kein Urheberrecht um Plagiate zu verurteilen, da tut es eigentlich ganz einfach der Straftatbestand des <#MET Betruges #>."
"387","Ein Plagiat ist was anderes als eine <#MET Kopie #>."
"388","Wir <#MET Piraten #> mögen keine Plagiate und deswegen ist Guttenberg auch kein Pirat."
"389","Wir <#MET Pirat #>en mögen keine Plagiate und deswegen ist Guttenberg auch kein <#MET Pirat #>."
"390","wie steht ihr <#MET Piraten #> eigentlich zu nicht als Zitat angegebenen Plagiaten in wissenschaftlichen Arbeiten?"
"391","wie steht ihr Piraten eigentlich zu nicht als <#MET Zitat #> angegebenen Plagiaten in wissenschaftlichen Arbeiten?"
"392","Es werde auch auf professoraler Ebene im Zusammenhang mit wissenschaftlichen Publika- Ablehnung des Antrags auf Drucksache 17/5195 mit Stimmen der Fraktion der CDU/CSU und FDP gegen die Stimtionen mit <#MET Fälschungen #>, Plagiaten, Ghostwriting und interessegeleiteten Falschaussagen gearbeitet."
